#File-Size,Blocksize(64K),Threads(1),Write%age(0),duration(10sec),path,Read_io,Write_io,Total_io
20G,4K,1,50,10,E:\DiskSpeedTest,,,
20G,4K,2,50,10,E:\DiskSpeedTest,,,
20G,4K,4,50,10,E:\DiskSpeedTest,,,
20G,4K,8,50,10,E:\DiskSpeedTest,,,
20G,32K,16,50,10,E:\DiskSpeedTest,,,
20G,32K,1,50,10,E:\DiskSpeedTest,,,
20G,32K,2,50,10,E:\DiskSpeedTest,,,
20G,32K,4,50,10,E:\DiskSpeedTest,,,
20G,64K,8,50,10,E:\DiskSpeedTest,,,
20G,64K,16,50,10,E:\DiskSpeedTest,,,
20G,64K,1,50,10,E:\DiskSpeedTest,,,
20G,64K,2,50,10,E:\DiskSpeedTest,,,
20G,128K,4,50,10,E:\DiskSpeedTest,,,
20G,128K,8,50,10,E:\DiskSpeedTest,,,
20G,256K,16,50,10,E:\DiskSpeedTest,,,
20G,256K,1,50,10,E:\DiskSpeedTest,,,
20G,512K,2,50,10,E:\DiskSpeedTest,,,
20G,512K,4,50,10,E:\DiskSpeedTest,,,
20G,1024K,8,50,10,E:\DiskSpeedTest,,,
20G,1024K,16,50,10,E:\DiskSpeedTest,,,
